部門コード,部門名,勘定科目コード,勘定科目名,補助科目コード,補助科目名,前残,借方金額,貸方金額,残高
1209,東京支店旅行業,519,旅行売上,9116,ｵﾘﾝﾊﾟｽﾛｼﾞﾃｯｸｽ,731910,0,34836,766746
1209,東京支店旅行業,519,旅行売上,9118,ｵﾘﾝﾊﾟｽ健保組合,63649,0,0,63649
1209,東京支店旅行業,519,旅行売上,9119,ｵﾘﾝﾊﾟｽ年金基金,60907,0,0,60907
1209,東京支店旅行業,519,旅行売上,9121,ｵﾘﾝﾊﾟｽ労働組合,1137139,0,61745,1198884
1209,東京支店旅行業,519,旅行売上,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,141167,0,0,141167
1209,東京支店旅行業,519,旅行売上,9127,ｵﾘﾝﾊﾟｽﾃﾙﾓﾊﾞｲｵﾏ,2560549,0,97127,2657676
1209,東京支店旅行業,519,旅行売上,9210,AVS,1306333,0,202568,1508901
1209,東京支店旅行業,519,旅行売上,9219,ﾃｨｰﾒﾃﾞｨｸｽ㈱,385500,0,0,385500
1209,東京支店旅行業,519,旅行売上,9999,OSS その他,-3228435,0,343159,-2885276
1209,東京支店旅行業,519,旅行売上,,合計,330856496,8793295,41008057,363071258
1209,東京支店旅行業,519,旅行売上,,差額(科目 - 合計),,,,0
1227,金融総合ｻｰﾋﾞｽ,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,500840,0,83517,584357
1227,金融総合ｻｰﾋﾞｽ,515,業務委託売上,9999,OSS その他,2007000,0,193150,2200150
1227,金融総合ｻｰﾋﾞｽ,515,業務委託売上,,合計,2507840,0,276667,2784507
1227,金融総合ｻｰﾋﾞｽ,515,業務委託売上,,差額(科目 - 合計),,,,0
1232,東京支店商品,501,商品売上高,5005,映像製品,7200258,0,0,7200258
1232,東京支店商品,501,商品売上高,5031,紳士服販売,5282950,0,0,5282950
1232,東京支店商品,501,商品売上高,5051,PBﾎﾞﾄﾙ,28445,0,10667,39112
1232,東京支店商品,501,商品売上高,5058,丸大食品,7400,0,0,7400
1232,東京支店商品,501,商品売上高,5059,伊藤ﾊﾑ販売,45175,0,0,45175
1232,東京支店商品,501,商品売上高,9101,ｵﾘﾝﾊﾟｽ,812000,0,130000,942000
1232,東京支店商品,501,商品売上高,9219,ﾃｨｰﾒﾃﾞｨｸｽ㈱,112200,0,14300,126500
1232,東京支店商品,501,商品売上高,,合計,13488428,0,154967,13643395
1232,東京支店商品,501,商品売上高,,差額(科目 - 合計),,,,0
1232,東京支店商品,506,物品販売手数料,0713,ﾀﾞｲｵｰｽﾞｼﾞｬﾊﾟﾝ,12063,0,4852,16915
1232,東京支店商品,506,物品販売手数料,0714,ﾅｼｮﾅﾙﾍﾞﾝﾃﾞｨﾝｸﾞ,17539,0,2298,19837
1232,東京支店商品,506,物品販売手数料,0899,FVｲｰｽﾄ,510643,0,80962,591605
1232,東京支店商品,506,物品販売手数料,9999,OSS その他,32630,0,15046,47676
1232,東京支店商品,506,物品販売手数料,,合計,572875,0,103158,676033
1232,東京支店商品,506,物品販売手数料,,差額(科目 - 合計),,,,0
1235,東京支店業務委託,514,仲介手数料,9999,OSS その他,1005226,0,181071,1186297
1235,東京支店業務委託,514,仲介手数料,,合計,1005226,0,181071,1186297
1235,東京支店業務委託,514,仲介手数料,,差額(科目 - 合計),,,,0
1235,東京支店業務委託,515,業務委託売上,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,1272000,0,212000,1484000
1235,東京支店業務委託,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,25887514,0,4382927,30270441
1235,東京支店業務委託,515,業務委託売上,,合計,27159514,0,4594927,31754441
1235,東京支店業務委託,515,業務委託売上,,差額(科目 - 合計),,,,0
1252,受注販売,501,商品売上高,1138,濱田,58404,0,0,58404
1252,受注販売,501,商品売上高,1140,果園みなみ,192178,0,0,192178
1252,受注販売,501,商品売上高,1141,丸勘山形青果,415679,0,0,415679
1252,受注販売,501,商品売上高,1143,大山ﾊﾑ,117098,0,25795,142893
1252,受注販売,501,商品売上高,1144,花山うどん,54102,0,0,54102
1252,受注販売,501,商品売上高,1336,守礼堂,193795,0,0,193795
1252,受注販売,501,商品売上高,5005,映像製品,19087154,0,316434,19403588
1252,受注販売,501,商品売上高,5058,丸大食品,93300,0,0,93300
1252,受注販売,501,商品売上高,5059,伊藤ﾊﾑ販売,59375,0,0,59375
1252,受注販売,501,商品売上高,9999,OSS その他,-985907,0,0,-985907
1252,受注販売,501,商品売上高,,合計,19285178,0,342229,19627407
1252,受注販売,501,商品売上高,,差額(科目 - 合計),,,,0
1252,受注販売,506,物品販売手数料,1125,野村不動産,24300,0,0,24300
1252,受注販売,506,物品販売手数料,1128,ﾕﾆｸｴｽﾄｵﾝﾗｲﾝ,23148,0,0,23148
1252,受注販売,506,物品販売手数料,1129,日産自動車販売,10000,0,0,10000
1252,受注販売,506,物品販売手数料,1130,明治座,6958,0,0,6958
1252,受注販売,506,物品販売手数料,1135,帝国ﾎﾃﾙ,1884,0,3472,5356
1252,受注販売,506,物品販売手数料,1136,小田原鈴廣,321,0,0,321
1252,受注販売,506,物品販売手数料,1137,JCM,50000,0,0,50000
1252,受注販売,506,物品販売手数料,1146,ﾜｲｽﾞｸｴｽﾄ,4056,0,2244,6300
1252,受注販売,506,物品販売手数料,1148,ﾆｭｰｱｰﾄｼｰﾏ,10069,0,31604,41673
1252,受注販売,506,物品販売手数料,1441,ﾄﾚｾﾝﾃ,8382,0,0,8382
1252,受注販売,506,物品販売手数料,1442,東急ﾊﾝｽﾞ,927,0,0,927
1252,受注販売,506,物品販売手数料,1443,村内ﾌｧﾆﾁｬ,55459,0,7002,62461
1252,受注販売,506,物品販売手数料,1460,ｴｰｱｲﾃﾞｨ,20066,0,7222,27288
1252,受注販売,506,物品販売手数料,1463,ﾎﾝﾀﾞｶｰｽﾞ,18519,0,13889,32408
1252,受注販売,506,物品販売手数料,1464,小泉製作所,361,0,0,361
1252,受注販売,506,物品販売手数料,1465,MTG,8233,0,1575,9808
1252,受注販売,506,物品販売手数料,1469,明治屋,7414,0,288,7702
1252,受注販売,506,物品販売手数料,1471,社内販売ﾈｯﾄ,9352,0,0,9352
1252,受注販売,506,物品販売手数料,1473,HJﾎｰﾙﾃﾞｨﾝｸﾞｽ,20000,0,6111,26111
1252,受注販売,506,物品販売手数料,1474,ﾃﾞｨｰｽﾀｲﾙ,2158,0,0,2158
1252,受注販売,506,物品販売手数料,1475,千趣会ｲｲﾊﾅ,8712,0,1420,10132
1252,受注販売,506,物品販売手数料,1477,ﾍﾞｽﾄ販売,68890,0,43480,112370
1252,受注販売,506,物品販売手数料,1494,ｶﾙﾋﾞｰ,543,0,218,761
1252,受注販売,506,物品販売手数料,9999,OSS その他,417,0,0,417
1252,受注販売,506,物品販売手数料,,合計,360169,0,118525,478694
1252,受注販売,506,物品販売手数料,,差額(科目 - 合計),,,,0
1252,受注販売,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,20226,0,3372,23598
1252,受注販売,515,業務委託売上,,合計,20226,0,3372,23598
1252,受注販売,515,業務委託売上,,差額(科目 - 合計),,,,0
1304,八王子支店清掃,513,清掃売上,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,315000,0,113500,428500
1304,八王子支店清掃,513,清掃売上,9101,ｵﾘﾝﾊﾟｽ,45141739,0,7738341,52880080
1304,八王子支店清掃,513,清掃売上,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,2438600,0,0,2438600
1304,八王子支店清掃,513,清掃売上,,合計,47895339,0,7851841,55747180
1304,八王子支店清掃,513,清掃売上,,差額(科目 - 合計),,,,0
1307,八王子支店保険,507,保険手数料,1100,自動車(八王子),7945000,0,1476000,9421000
1307,八王子支店保険,507,保険手数料,1102,火災(八王子),111000,0,13000,124000
1307,八王子支店保険,507,保険手数料,1103,がん(八王子),4066000,0,678000,4744000
1307,八王子支店保険,507,保険手数料,1105,傷害(八王子),720000,0,120000,840000
1307,八王子支店保険,507,保険手数料,1106,自賠責(八王子),3074,0,0,3074
1307,八王子支店保険,507,保険手数料,1110,ｵｰﾄﾛｰﾝ(八王子),160000,0,155800,315800
1307,八王子支店保険,507,保険手数料,,合計,13005074,0,2442800,15447874
1307,八王子支店保険,507,保険手数料,,差額(科目 - 合計),,,,0
1308,八王子支店印刷,501,商品売上高,1583,ﾋﾞｰｴﾑｱﾄﾞﾊﾞﾝｽ,51000,0,3000,54000
1308,八王子支店印刷,501,商品売上高,9021,ｵﾘﾝﾊﾟｽﾃﾞｼﾞﾀﾙ,26400,0,0,26400
1308,八王子支店印刷,501,商品売上高,9038,ｵﾘﾝﾊﾟｽRMS,13800,0,0,13800
1308,八王子支店印刷,501,商品売上高,9040,ｵﾘﾝﾊﾟｽｻﾎﾟｰﾄﾒｲﾄ,12800,0,2400,15200
1308,八王子支店印刷,501,商品売上高,9042,ｵﾘﾝﾊﾟｽﾒﾓﾘｰ,14400,0,0,14400
1308,八王子支店印刷,501,商品売上高,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,698000,0,84000,782000
1308,八王子支店印刷,501,商品売上高,9049,長野ｵﾘﾝﾊﾟｽ,98700,0,6900,105600
1308,八王子支店印刷,501,商品売上高,9101,ｵﾘﾝﾊﾟｽ,4727200,0,581500,5308700
1308,八王子支店印刷,501,商品売上高,9103,会津ｵﾘﾝﾊﾟｽ,151900,0,31400,183300
1308,八王子支店印刷,501,商品売上高,9104,白河ｵﾘﾝﾊﾟｽ,218400,0,13400,231800
1308,八王子支店印刷,501,商品売上高,9105,青森ｵﾘﾝﾊﾟｽ,160400,0,20100,180500
1308,八王子支店印刷,501,商品売上高,9115,ｵﾘﾝﾊﾟｽｼｽﾃﾑｽﾞ,24600,0,27900,52500
1308,八王子支店印刷,501,商品売上高,9116,ｵﾘﾝﾊﾟｽﾛｼﾞﾃｯｸｽ,17400,0,3300,20700
1308,八王子支店印刷,501,商品売上高,9118,ｵﾘﾝﾊﾟｽ健保組合,600,0,800,1400
1308,八王子支店印刷,501,商品売上高,9119,ｵﾘﾝﾊﾟｽ年金基金,3800,0,0,3800
1308,八王子支店印刷,501,商品売上高,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,130600,0,4500,135100
1308,八王子支店印刷,501,商品売上高,9210,AVS,11300,0,800,12100
1308,八王子支店印刷,501,商品売上高,9219,ﾃｨｰﾒﾃﾞｨｸｽ㈱,69600,0,5200,74800
1308,八王子支店印刷,501,商品売上高,9999,OSS その他,-777300,0,1600,-775700
1308,八王子支店印刷,501,商品売上高,,合計,5653600,0,786800,6440400
1308,八王子支店印刷,501,商品売上高,,差額(科目 - 合計),,,,0
1309,八王子支店旅行業,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,3936876,0,656146,4593022
1309,八王子支店旅行業,515,業務委託売上,,合計,3936876,0,656146,4593022
1309,八王子支店旅行業,515,業務委託売上,,差額(科目 - 合計),,,,0
1309,八王子支店旅行業,519,旅行売上,5026,個人,1513088,0,209682,1722770
1309,八王子支店旅行業,519,旅行売上,9040,ｵﾘﾝﾊﾟｽｻﾎﾟｰﾄﾒｲﾄ,495972,0,0,495972
1309,八王子支店旅行業,519,旅行売上,9101,ｵﾘﾝﾊﾟｽ,75755573,0,13286126,89041699
1309,八王子支店旅行業,519,旅行売上,9104,白河ｵﾘﾝﾊﾟｽ,63064,0,0,63064
1309,八王子支店旅行業,519,旅行売上,9115,ｵﾘﾝﾊﾟｽｼｽﾃﾑｽﾞ,116991,0,10273,127264
1309,八王子支店旅行業,519,旅行売上,9121,ｵﾘﾝﾊﾟｽ労働組合,434305,0,63100,497405
1309,八王子支店旅行業,519,旅行売上,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,2033448,0,215437,2248885
1309,八王子支店旅行業,519,旅行売上,,合計,80412441,0,13784618,94197059
1309,八王子支店旅行業,519,旅行売上,,差額(科目 - 合計),,,,0
1332,青(商品),501,商品売上高,1702,ｶｰ用品(YOUYOU,204815,0,0,204815
1332,青(商品),501,商品売上高,1703,ｼｪｰﾙ洋菓子,8843,0,6065,14908
1332,青(商品),501,商品売上高,1704,沢田水産海産物,142204,0,0,142204
1332,青(商品),501,商品売上高,1708,交友会,1834887,0,1788414,3623301
1332,青(商品),501,商品売上高,1709,ﾀﾞｽｷﾝ売上,1501932,0,238343,1740275
1332,青(商品),501,商品売上高,1710,ｻﾗﾔ売上,1108944,0,148186,1257130
1332,青(商品),501,商品売上高,1711,ﾕﾆﾏｯﾄ売上,4891700,0,370050,5261750
1332,青(商品),501,商品売上高,1717,大商金山牧場,15267,0,4294,19561
1332,青(商品),501,商品売上高,5005,映像製品,673249,0,0,673249
1332,青(商品),501,商品売上高,5051,PBﾎﾞﾄﾙ,13390,0,1674,15064
1332,青(商品),501,商品売上高,5056,什器備品,77011,0,1227,78238
1332,青(商品),501,商品売上高,5057,その他販売,31550,0,44570,76120
1332,青(商品),501,商品売上高,9105,青森ｵﾘﾝﾊﾟｽ,227334,0,20907,248241
1332,青(商品),501,商品売上高,,合計,10731126,0,2623730,13354856
1332,青(商品),501,商品売上高,,差額(科目 - 合計),,,,0
1332,青(商品),506,物品販売手数料,1668,東北フローズン,13416,0,2657,16073
1332,青(商品),506,物品販売手数料,1671,原田ﾍﾞﾝﾃﾞｨﾝｸﾞ,625589,0,119573,745162
1332,青(商品),506,物品販売手数料,1684,みちのくｷｬﾝﾃｨｰ,232824,0,47679,280503
1332,青(商品),506,物品販売手数料,,合計,871829,0,169909,1041738
1332,青(商品),506,物品販売手数料,,差額(科目 - 合計),,,,0
1334,青(清掃),513,清掃売上,9105,青森ｵﾘﾝﾊﾟｽ,13749337,0,1654408,15403745
1334,青(清掃),513,清掃売上,,合計,13749337,0,1654408,15403745
1334,青(清掃),513,清掃売上,,差額(科目 - 合計),,,,0
1335,青(業務),514,仲介手数料,1649,東信不動産,57986,0,0,57986
1335,青(業務),514,仲介手数料,,合計,57986,0,0,57986
1335,青(業務),514,仲介手数料,,差額(科目 - 合計),,,,0
1335,青(業務),515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,0,0,18000,18000
1335,青(業務),515,業務委託売上,9105,青森ｵﾘﾝﾊﾟｽ,32340047,0,5256917,37596964
1335,青(業務),515,業務委託売上,,合計,32340047,0,5274917,37614964
1335,青(業務),515,業務委託売上,,差額(科目 - 合計),,,,0
1337,青(保険),507,保険手数料,1615,自動車(青森),1420000,0,230000,1650000
1337,青(保険),507,保険手数料,1618,がん(青森),240000,0,40000,280000
1337,青(保険),507,保険手数料,1620,傷害(青森),60000,0,10000,70000
1337,青(保険),507,保険手数料,,合計,1720000,0,280000,2000000
1337,青(保険),507,保険手数料,,差額(科目 - 合計),,,,0
1352,八(売店),501,商品売上高,5006,販売会,9716905,0,2056771,11773676
1352,八(売店),501,商品売上高,5007,書籍,476922,0,71569,548491
1352,八(売店),501,商品売上高,5031,紳士服販売,1720500,0,0,1720500
1352,八(売店),501,商品売上高,5032,中古PC,121000,0,0,121000
1352,八(売店),501,商品売上高,5051,PBﾎﾞﾄﾙ,1156584,0,210898,1367482
1352,八(売店),501,商品売上高,5057,その他販売,93925,0,0,93925
1352,八(売店),501,商品売上高,9021,ｵﾘﾝﾊﾟｽﾃﾞｼﾞﾀﾙ,79717,0,0,79717
1352,八(売店),501,商品売上高,9049,長野ｵﾘﾝﾊﾟｽ,2160,0,0,2160
1352,八(売店),501,商品売上高,9051,ｿﾆｰ･ｵﾘﾝﾊﾟｽﾒﾃﾞｨ,7000,0,0,7000
1352,八(売店),501,商品売上高,9101,ｵﾘﾝﾊﾟｽ,2049709,0,284971,2334680
1352,八(売店),501,商品売上高,9115,ｵﾘﾝﾊﾟｽｼｽﾃﾑｽﾞ,17960,0,1800,19760
1352,八(売店),501,商品売上高,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,17370,0,0,17370
1352,八(売店),501,商品売上高,9210,AVS,5130,0,0,5130
1352,八(売店),501,商品売上高,,合計,15464882,0,2626009,18090891
1352,八(売店),501,商品売上高,,差額(科目 - 合計),,,,0
1352,八(売店),506,物品販売手数料,1147,ﾀﾞｲｵｰｽﾞｼﾞｬﾊﾟﾝ,8713,0,1986,10699
1352,八(売店),506,物品販売手数料,1148,ﾆｭｰｱｰﾄｼｰﾏ,9750,0,0,9750
1352,八(売店),506,物品販売手数料,1416,ﾅｼｮﾅﾙﾍﾞﾝﾃﾞｨﾝｸﾞ,492551,0,80940,573491
1352,八(売店),506,物品販売手数料,1434,ｱｻﾋ飲料,24906,0,2460,27366
1352,八(売店),506,物品販売手数料,1453,山本商店,4744,0,0,4744
1352,八(売店),506,物品販売手数料,1472,ｼﾞｬﾊﾟﾝﾋﾞﾊﾞﾚｯｼﾞ,539249,0,103168,642417
1352,八(売店),506,物品販売手数料,1482,FVｼﾞｬﾊﾟﾝ,8976574,0,1757359,10733933
1352,八(売店),506,物品販売手数料,1493,八洋,52182,0,10275,62457
1352,八(売店),506,物品販売手数料,1552,伊藤園,1036907,0,167829,1204736
1352,八(売店),506,物品販売手数料,,合計,11145576,0,2124017,13269593
1352,八(売店),506,物品販売手数料,,差額(科目 - 合計),,,,0
1352,八(売店),515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,20226,0,3371,23597
1352,八(売店),515,業務委託売上,,合計,20226,0,3371,23597
1352,八(売店),515,業務委託売上,,差額(科目 - 合計),,,,0
1355,八王子支店業務部門受託,510,控除手数料,1119,千趣会,14554,0,1784,16338
1355,八王子支店業務部門受託,510,控除手数料,,合計,14554,0,1784,16338
1355,八王子支店業務部門受託,510,控除手数料,,差額(科目 - 合計),,,,0
1355,八王子支店業務部門受託,515,業務委託売上,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,356685,0,69195,425880
1355,八王子支店業務部門受託,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,47480635,450430,9112688,56142893
1355,八王子支店業務部門受託,515,業務委託売上,9104,白河ｵﾘﾝﾊﾟｽ,472,0,0,472
1355,八王子支店業務部門受託,515,業務委託売上,9105,青森ｵﾘﾝﾊﾟｽ,1296,0,0,1296
1355,八王子支店業務部門受託,515,業務委託売上,9121,ｵﾘﾝﾊﾟｽ労働組合,583,0,0,583
1355,八王子支店業務部門受託,515,業務委託売上,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,396507,0,81981,478488
1355,八王子支店業務部門受託,515,業務委託売上,,合計,48236178,450430,9263864,57049612
1355,八王子支店業務部門受託,515,業務委託売上,,差額(科目 - 合計),,,,0
1362,八王子支店商品部門什器,501,商品売上高,5056,什器備品,4233530,0,643163,4876693
1362,八王子支店商品部門什器,501,商品売上高,,合計,4233530,0,643163,4876693
1362,八王子支店商品部門什器,501,商品売上高,,差額(科目 - 合計),,,,0
1362,八王子支店商品部門什器,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,141564,0,23594,165158
1362,八王子支店商品部門什器,515,業務委託売上,,合計,141564,0,23594,165158
1362,八王子支店商品部門什器,515,業務委託売上,,差額(科目 - 合計),,,,0
1365,八王子支店業務部門寮管理,514,仲介手数料,1124,宮博工務店,9379,0,0,9379
1365,八王子支店業務部門寮管理,514,仲介手数料,1125,野村不動産,100000,0,0,100000
1365,八王子支店業務部門寮管理,514,仲介手数料,1126,ﾍﾞﾙｽ,806685,0,0,806685
1365,八王子支店業務部門寮管理,514,仲介手数料,,合計,916064,0,0,916064
1365,八王子支店業務部門寮管理,514,仲介手数料,,差額(科目 - 合計),,,,0
1365,八王子支店業務部門寮管理,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,26297784,0,4382465,30680249
1365,八王子支店業務部門寮管理,515,業務委託売上,,合計,26297784,0,4382465,30680249
1365,八王子支店業務部門寮管理,515,業務委託売上,,差額(科目 - 合計),,,,0
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9040,ｵﾘﾝﾊﾟｽｻﾎﾟｰﾄﾒｲﾄ,289082,0,21472,310554
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9042,ｵﾘﾝﾊﾟｽﾒﾓﾘｰ,230389,0,12357,242746
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9043,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｻｲ,5851528,0,1011449,6862977
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9049,長野ｵﾘﾝﾊﾟｽ,12904238,0,1441408,14345646
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9101,ｵﾘﾝﾊﾟｽ,31250912,0,4734633,35985545
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9103,会津ｵﾘﾝﾊﾟｽ,9761379,0,1404338,11165717
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9104,白河ｵﾘﾝﾊﾟｽ,8698990,0,1106795,9805785
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9105,青森ｵﾘﾝﾊﾟｽ,5667554,0,651178,6318732
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9115,ｵﾘﾝﾊﾟｽｼｽﾃﾑｽﾞ,917288,0,25615,942903
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9116,ｵﾘﾝﾊﾟｽﾛｼﾞﾃｯｸｽ,1919575,0,360750,2280325
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9126,ｵﾘﾝﾊﾟｽﾒﾃﾞｨｶﾙｼｽ,2206778,0,201566,2408344
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9127,ｵﾘﾝﾊﾟｽﾃﾙﾓﾊﾞｲｵﾏ,594084,0,65417,659501
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9210,AVS,243645,0,32296,275941
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9219,ﾃｨｰﾒﾃﾞｨｸｽ㈱,399512,0,53881,453393
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,9999,OSS その他,-4877688,0,0,-4877688
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,,合計,76057266,0,11123155,87180421
1372,八王子支店商品部門ｱｽｸﾙ,501,商品売上高,,差額(科目 - 合計),,,,0
1372,八王子支店商品部門ｱｽｸﾙ,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,1051596,0,175266,1226862
1372,八王子支店商品部門ｱｽｸﾙ,515,業務委託売上,,合計,1051596,0,175266,1226862
1372,八王子支店商品部門ｱｽｸﾙ,515,業務委託売上,,差額(科目 - 合計),,,,0
1385,八王子支店業務部門廃棄物,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,3756060,0,626010,4382070
1385,八王子支店業務部門廃棄物,515,業務委託売上,,合計,3756060,0,626010,4382070
1385,八王子支店業務部門廃棄物,515,業務委託売上,,差額(科目 - 合計),,,,0
1395,八王子支店業務部門ｸﾞﾘｰﾝ,515,業務委託売上,9101,ｵﾘﾝﾊﾟｽ,21091800,0,4045300,25137100
1395,八王子支店業務部門ｸﾞﾘｰﾝ,515,業務委託売上,,合計,21091800,0,4045300,25137100
1395,八王子支店業務部門ｸﾞﾘｰﾝ,515,業務委託売上,,差額(科目 - 合計),,,,0
1402,辰野支店商品,501,商品売上高,2080,辰野売店売上,1026511,0,69137,1095648
1402,辰野支店商品,501,商品売上高,5002,ぶどう販売,1247601,815,772891,2019677
1402,辰野支店商品,501,商品売上高,5005,映像製品,3799555,8333,140837,3932059
1402,辰野支店商品,501,商品売上高,5006,販売会,528695,0,30000,558695
1402,辰野支店商品,501,商品売上高,5007,書籍,52985,0,19875,72860
1402,辰野支店商品,501,商品売上高,5009,映像製品(修理),18241,0,0,18241
1402,辰野支店商品,501,商品売上高,5011,映像製品(ｷｬﾝﾍﾟ,95000,0,0,95000
1402,辰野支店商品,501,商品売上高,5012,ｶｰ用品(ﾋﾟｯﾄｲﾝ),48148,0,0,48148
1402,辰野支店商品,501,商品売上高,5022,ﾒﾘｰﾁｮｺﾚｰﾄ,0,0,38889,38889
1402,辰野支店商品,501,商品売上高,5051,PBﾎﾞﾄﾙ,65277,0,0,65277
1402,辰野支店商品,501,商品売上高,5056,什器備品,1806,0,39600,41406
1402,辰野支店商品,501,商品売上高,5057,その他販売,1268675,0,64036,1332711
1402,辰野支店商品,501,商品売上高,5059,伊藤ﾊﾑ販売,33400,0,0,33400
1402,辰野支店商品,501,商品売上高,5101,清酒,179814,0,6400,186214
1402,辰野支店商品,501,商品売上高,5106,ビール,253600,0,11074,264674
1402,辰野支店商品,501,商品売上高,5107,果実酒,46794,0,0,46794
1402,辰野支店商品,501,商品売上高,5109,ウィスキー,5074,0,0,5074
1402,辰野支店商品,501,商品売上高,5114,スピリッツ,7335,0,880,8215
1402,辰野支店商品,501,商品売上高,5115,リキュール,44222,0,6741,50963
1402,辰野支店商品,501,商品売上高,9040,ｵﾘﾝﾊﾟｽｻﾎﾟｰﾄﾒｲﾄ,2130,0,0,2130
1402,辰野支店商品,501,商品売上高,9049,長野ｵﾘﾝﾊﾟｽ,3709957,0,704189,4414146
1402,辰野支店商品,501,商品売上高,9101,ｵﾘﾝﾊﾟｽ,10247451,0,1568460,11815911
